Number of  Ratings,Average of User Rating
37,4.6
220,4.6
408,4.5
438,4.5
440,4.4
460,4.6
471,4.5
491,4.2
548,4.8
615,4.7
637,4.4
720,4.5
798,4.6
803,4.6
807,4.3
858,4.7
956,4.3
973,4.7
978,4.6
1201,4.4
1204,4.6
1215,4.4
1265,4.7
1296,4.8
1302,4.2
1320,4.6
1329,4.8
1365,4.6
1386,4.5
1463,4.7
1467,4.1
1541,4.6
1542,4.7
1555,4.4
1583,4.5
1636,4.6
1649,4.2
1651,4.6
1655,4.8
1680,4.8
1789,4.2
1831,4.5
1859,4
1873,4.7
1884,4.9
1904,4.5
1907,4.6
1909,4.6
1924,4.3
1930,4.8
1985,4.7
2023,4.1
2052,4.6
2091,4.8
2094,4.2
2122,4.6
2134,4.6
2137,4.6
2186,4.6
2272,4.1
2282,4.8
2313,4.5
2314,4.3
2426,4.5
2507,4.8
2525,4.5
2580,4.6
2586,4.5
2663,4.8
2744,4.6
2752,4.5
2774,4.8
2812,4.9
2876,4.8
2884,4.5
2925,4.6
2926,4.8
2951,4.4
3014,4.5
3113,4.4
3146,4.9
3163,4.6
3181,4.8
3192,4.9
3207,4.6
3319,4.3
3341,4.4
3428,4.8
3457,4.5
3477,4.7
3490,4.8
3503,4.55
3523,4.3
3536,4.7
3564,4.7
3601,4.5
3619,4.6
3642,4.7
3673,4.5
3729,4.7
3759,4.35
3776,4.8
3796,4.8
3801,4.7
3828,4.8
3829,4.8
3836,4.9
3837,4.8
3871,4.8
3923,4.8
4022,4.8
4028,4.7
4148,4.8
4149,4.6
4247,4.4
4290,4.8
4360,4.6
4370,4.7
4505,4.8
4506,4.8
4519,4.2
4571,4.4
4585,4.7
4587,4.3
4628,4.8
4633,4.7
4642,4.4
4725,4.7
4748,4.5
4757,4.8
4761,4.7
4786,4.9
4799,4.6
4866,4.6
4896,4.7
5013,4.6
5062,4.9
5069,4
5118,4.8
5153,4.5
5178,4.7
5235,4.6
5249,4.8
5272,4.3
5299,4.6
5347,4.8
5360,4.6
5396,4.9
5413,4.7
5470,4.9
5476,4.8
5487,4.7
5492,4.6
5505,4.7
5542,4.6
5594,4.6
5680,4.6
5836,4.8
5867,4.9
5898,4.8
5956,4.9
5972,4.6
5977,4.3
5983,4.7
6042,4.4
6108,4.8
6132,4.5
6143,4.3
6169,4.75
6222,4.4
6247,4.8
6310,3.9
6346,4.5
6377,4.7
6540,4.8
6600,4.8
6669,4.6
6679,4.5
6740,4.3
6812,4.8
6982,4.8
6990,4.6
7034,4.7
7038,4.9
7058,4.4
7062,4.8
7150,4.9
7153,4.3
7235,4.9
7251,4.7
7368,4.3
7396,4.4
7497,4.4
7508,4.6
7550,4.4
7660,4.6
7665,4.8
7747,4.7
7758,4.9
7802,4.8
7827,4.6
7861,4.9
7866,4.8
7932,4.5
7955,4.6
8081,4.8
8093,4.6
8170,4.8
8393,4.6
8491,4.5
8580,4.5
8587,4.7
8634,4.6
8747,4.2
8837,4.8
8842,4.9
8916,4.8
8922,4.8
8958,4.5
9030,4.7
9089,4.9
9198,4.8
9289,4.7
9292,4.7
9325,4.6
9342,4.7
9366,4.7
9372,3.3
9374,4.7
9382,4.9
9413,4.9
9568,4.8
9737,4.8
9769,4.6
9784,4.8
9867,4.8
9947,4.8
9967,4.8
10009,4.6
10052,4.9
10070,4.7
10101,4.5
10141,4.6
10191,4.3
10199,4.7
10369,4.6
10426,4.6
10559,4.4
10721,4.6
10760,4.5
10795,4.6
10820,4.7
10922,4.8
10927,4.6
11034,4.6
11098,4.6
11113,4.8
11128,4.6
11391,4.5
11550,4.7
11616,4.4
11676,4.7
11813,4.7
11881,4.9
12159,4.3
12361,4.8
12619,4.9
12643,4.4
13061,4.3
13471,4.8
13609,4.5
13616,4.3
13677,4.2
13779,4.8
13871,4.8
13964,4.5
14038,4.8
14331,4.7
14344,4.9
14493,4.3
14982,3.6
15526,4.4
15779,4.7
15845,4.7
15921,4.6
16244,4.8
16643,4.8
16949,4.8
16990,4.8
17044,4.4
17323,4.7
17350,4.7
17684,4.5
17739,4.7
18613,4.8
18904,4.3
18979,4.7
19546,4.9
19576,4.9
19622,4.9
19699,4.7
19720,4.6
19735,4.7
20262,4.5
21424,4.7
21625,4.8
21834,4.9
21930,4.6
22288,4.6
22536,4.6
22614,4.7
22641,4.5
23047,4.8
23114,4.5
23148,4.6
23308,4.7
23358,4.8
23631,4.4
23848,4.6
23973,4
25001,4.7
25554,4.8
25624,4.4
25706,4.5
26234,4.8
26490,4.6
26741,4.5
27098,4.6
27536,4.5
28729,4.7
29442,4.3
29651,4.1
29673,4.8
30183,4.8
32122,4.7
33844,3.9
35799,4.7
36348,4.6
39459,4.7
47265,3.8
49288,4.8
50482,4.7
57271,4
61133,4.8
79446,4.1
87841,4.8
Grand Total,4.618363636
